epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2301.34,0.85177,0.5366,0.90482,0.87045,0.80991,0.87143,0.66264,0.75392,0.46897,0.86979,0.000159952,0.000159952,0.000159952
82,2329.47,0.85301,0.53738,0.90291,0.87141,0.81123,0.87071,0.66258,0.75221,0.46773,0.86828,0.000152339,0.000152339,0.000152339
83,2357.41,0.85204,0.53407,0.90223,0.86693,0.81339,0.87197,0.66452,0.75093,0.46678,0.86728,0.000144726,0.000144726,0.000144726
84,2385.63,0.84462,0.53066,0.89954,0.87086,0.81517,0.87283,0.66653,0.74952,0.46562,0.86719,0.000137113,0.000137113,0.000137113
85,2414.04,0.85129,0.53386,0.90323,0.88352,0.81195,0.87406,0.66669,0.74731,0.46449,0.86724,0.0001295,0.0001295,0.0001295
86,2442.5,0.8406,0.52641,0.89847,0.87721,0.81653,0.87472,0.66853,0.74565,0.46266,0.86599,0.000121887,0.000121887,0.000121887
87,2470.78,0.83807,0.52466,0.89896,0.87185,0.81896,0.87497,0.66869,0.74428,0.46189,0.865,0.000114273,0.000114273,0.000114273
88,2499.1,0.83662,0.52346,0.89977,0.87745,0.81549,0.87451,0.66911,0.74305,0.46126,0.86463,0.00010666,0.00010666,0.00010666
89,2527.14,0.83973,0.52785,0.89832,0.88021,0.81663,0.87531,0.66918,0.74121,0.46014,0.86367,9.90472e-05,9.90472e-05,9.90472e-05
90,2555.54,0.83473,0.52351,0.89787,0.87609,0.82098,0.87652,0.67051,0.7395,0.45928,0.86426,9.14341e-05,9.14341e-05,9.14341e-05
91,2584.03,0.82605,0.50312,0.89221,0.88067,0.81496,0.87466,0.66525,0.75069,0.46406,0.86733,8.3821e-05,8.3821e-05,8.3821e-05
92,2611.67,0.8102,0.49577,0.88724,0.87694,0.81533,0.87387,0.66471,0.75125,0.4637,0.86736,7.62079e-05,7.62079e-05,7.62079e-05
93,2639.26,0.8041,0.4922,0.88601,0.86857,0.81797,0.87297,0.66431,0.74941,0.46227,0.8676,6.85948e-05,6.85948e-05,6.85948e-05
94,2666.91,0.79462,0.48787,0.88225,0.87422,0.8158,0.87427,0.66685,0.74733,0.4611,0.86624,6.09817e-05,6.09817e-05,6.09817e-05
95,2694.56,0.79295,0.48587,0.88171,0.87251,0.81536,0.87468,0.66897,0.74523,0.46025,0.86522,5.33686e-05,5.33686e-05,5.33686e-05
96,2722.17,0.79275,0.48399,0.88297,0.87961,0.81476,0.87541,0.6711,0.74362,0.45945,0.86543,4.57555e-05,4.57555e-05,4.57555e-05
97,2749.65,0.78705,0.48268,0.88168,0.87011,0.82149,0.87555,0.67195,0.74253,0.45826,0.865,3.81424e-05,3.81424e-05,3.81424e-05
98,2777.09,0.78352,0.4805,0.88009,0.88061,0.8152,0.87682,0.67242,0.74073,0.4578,0.86467,3.05293e-05,3.05293e-05,3.05293e-05
99,2804.76,0.77915,0.47642,0.87879,0.88385,0.81321,0.87685,0.67296,0.73962,0.45696,0.86466,2.29162e-05,2.29162e-05,2.29162e-05
100,2832.47,0.77839,0.47663,0.87943,0.88239,0.81646,0.87749,0.67404,0.7386,0.45613,0.86437,1.53031e-05,1.53031e-05,1.53031e-05
